Date,Open,High,Low,Close,Adj Close,Volume
2/1/2020,59.6875,59.977501,59.18,59.977501,59.741241,23753600
3/1/2020,58.775002,59.4575,58.525002,59.017502,58.785023,20538400
6/1/2020,58.080002,59.317501,57.817501,59.264999,59.031544,26263600
7/1/2020,59.549999,60.442501,59.0975,59.982498,59.74622,31485600
8/1/2020,59.939999,60.509998,59.537498,60.095001,59.85828,27710800
9/1/2020,60.962502,61.482498,60.215,60.755001,60.515682,25511200
10/1/2020,61.8325,62.137501,60.9375,61.080002,60.83939,31629600
13/1/2020,61.915001,63.247501,61.6875,62.994999,62.746845,31984000
14/1/2020,62.564999,62.82,61.6875,61.82,61.576481,35908800
15/1/2020,61.947498,62.172501,61.1325,61.392502,61.150669,26310400
16/1/2020,61.93,62.2925,61.695,62.232498,61.987362,28419200
17/1/2020,62.424999,62.5,61.842499,62.32,62.074512,25379200
21/1/2020,61.952499,62.322498,61.642502,61.985001,61.740841,21791600
22/1/2020,62.439999,63.397499,62.25,62.5275,62.281193,23924000
23/1/2020,62.93,63.299999,62.037498,63.215,62.965981,24451600
24/1/2020,64.375,64.875,62.075001,62.619999,62.373325,37351200
27/1/2020,59.560001,60.5625,58.057499,60.049999,59.813454,47053600
28/1/2020,60.712502,62.317501,60.177502,61.9925,61.748299,31097600
29/1/2020,61.8475,62.209999,60.985001,61.384998,61.143196,25884800
30/1/2020,60.4025,61.587502,59.849998,61.452499,61.210434,29050400
31/1/2020,60.9925,61.112499,58.6875,59.107498,58.874668,37042000
3/2/2020,58.924999,60.2775,58.862499,60.0825,59.845825,25556400
4/2/2020,61.5075,61.974998,61.005001,61.782501,61.539124,27154400
5/2/2020,62.997501,63.099998,61.852501,62.689999,62.443054,20822000
6/2/2020,63.035,63.5625,62.220001,63.5625,63.312115,21828400
7/2/2020,63.16,63.3825,62.642502,62.897499,62.649742,18975200
10/2/2020,63.125,65.75,63.075001,65.7425,65.483536,52960800
11/2/2020,66.830002,68.125,66.207497,66.972504,66.708664,63855600
12/2/2020,67.502502,68.199997,67.112503,68.135002,67.866623,37464400
13/2/2020,67.552498,68.370003,67.277496,67.695,67.428337,52801600
14/2/2020,71.815002,73.7425,71.5,72.447502,72.162125,104192400
18/2/2020,71.410004,74.327499,71.214996,74.142502,73.850456,62016400
19/2/2020,75.372498,78.852501,75.372498,78.675003,78.365089,69433200
20/2/2020,78.192497,79.080002,74.087502,77.175003,76.87101,81005200
21/2/2020,76.047501,76.300003,72.665001,73.517502,73.227913,76818000
24/2/2020,67.547501,70.467499,67,68.32,68.050888,85691600
25/2/2020,69.074997,69.697502,64.489998,65.512497,65.254448,105549600
26/2/2020,65.514999,68.862503,65.5,66.912498,66.648926,74773200
27/2/2020,63.724998,66.75,62.2225,63.150002,62.938866,90641600
28/2/2020,60.615002,68.114998,60.447498,67.517502,67.291756,113325200
2/3/2020,69.224998,69.397499,65.25,69.107498,68.876442,89074400
3/3/2020,69.667503,70.267502,65.614998,66.472504,66.250252,65279200
4/3/2020,67.550003,71.222504,66.800003,71.127502,70.889694,59740800
5/3/2020,69.125,70.800003,67.875,68.322502,68.09407,54032800
6/3/2020,66.519997,67.097504,64.5,66.510002,66.287643,51541200
9/3/2020,59.974998,64.849998,59.544998,61.360001,61.154846,61416000
10/3/2020,64.135002,65.269997,61.497501,65.269997,65.051773,58064800
11/3/2020,63.865002,64.150002,60.642502,61.6175,61.411495,49996400
12/3/2020,56.365002,59.029999,53.950001,54.077499,53.896698,81654000
13/3/2020,57.625,60.255001,54.9025,60.209999,60.00869,63483600
16/3/2020,53.102501,56.525002,48.5,49.099998,48.935841,72697200
17/3/2020,50.227501,55.215,47.75,54.317501,54.135899,83363200
18/3/2020,50.025002,52.485001,45.169998,50.705002,50.535477,87426800
19/3/2020,50.490002,54.182499,48.3475,53.2425,53.064495,76551200
20/3/2020,54.75,57.580002,51.282501,51.4375,51.265533,80463600
23/3/2020,51.427502,54.119999,49.630001,53.172501,52.994724,64387600
24/3/2020,57.25,63.165001,57.012501,62.294998,62.086723,110164400
25/3/2020,63.450001,65.455002,60.915001,61.404999,61.199699,79343200
26/3/2020,63.485001,65.555,62.5,64.309998,64.094994,69610800
27/3/2020,62.5,65.779999,62.169998,63.182499,62.971256,63882800
