Column1,Column2,Open,High,Low ,Close,Volume
5/6/2008,12:00:00 PM,1.95065,1.9571,1.9476,1.95595,33468
5/6/2008,4:00:00 PM,1.95595,1.9597,1.9546,1.959,10658
5/6/2008,8:00:00 PM,1.959,1.9596,1.957,1.9588,5603
6/6/2008,12:00:00 AM,1.9588,1.9597,1.9574,1.9585,8162
6/6/2008,4:00:00 AM,1.9584,1.9604,1.9543,1.95565,13295
6/6/2008,8:00:00 AM,1.95565,1.9589,1.9537,1.95705,17557
6/6/2008,12:00:00 PM,1.957,1.9734,1.95395,1.9694,29973
6/6/2008,4:00:00 PM,1.9694,1.9715,1.9682,1.9698,15282
6/6/2008,8:00:00 PM,1.9698,1.9709,1.9695,1.97075,1440
8/6/2008,8:00:00 PM,1.96883,1.9713,1.9685,1.9705,7578
9/6/2008,12:00:00 AM,1.9705,1.9707,1.967,1.96845,15082
9/6/2008,4:00:00 AM,1.96845,1.97305,1.9674,1.9712,30345
9/6/2008,8:00:00 AM,1.9712,1.97925,1.9701,1.9781,38592
9/6/2008,12:00:00 PM,1.9781,1.98005,1.9716,1.9755,38402
9/6/2008,4:00:00 PM,1.97555,1.97605,1.97075,1.97315,25621
9/6/2008,8:00:00 PM,1.9731,1.9757,1.973,1.9734,11478
10/6/2008,12:00:00 AM,1.9734,1.9742,1.9689,1.9692,26666
10/6/2008,4:00:00 AM,1.9692,1.9703,1.9601,1.9618,47363
10/6/2008,8:00:00 AM,1.9618,1.96235,1.9545,1.95645,32126
10/6/2008,12:00:00 PM,1.9565,1.95805,1.9519,1.9542,30244
10/6/2008,4:00:00 PM,1.9542,1.9552,1.95205,1.9545,18427
10/6/2008,8:00:00 PM,1.9545,1.9545,1.95268,1.953,7194
11/6/2008,12:00:00 AM,1.953,1.95495,1.95231,1.9545,13897
11/6/2008,4:00:00 AM,1.9546,1.9573,1.9534,1.9544,32739
11/6/2008,8:00:00 AM,1.9544,1.9618,1.94915,1.96125,32000
11/6/2008,12:00:00 PM,1.9613,1.96675,1.9576,1.9644,64997
11/6/2008,4:00:00 PM,1.9644,1.9659,1.96217,1.9626,26987
11/6/2008,8:00:00 PM,1.96255,1.96435,1.96205,1.9634,9809
12/6/2008,12:00:00 AM,1.9634,1.9635,1.9567,1.9583,33030
12/6/2008,4:00:00 AM,1.9583,1.9586,1.95095,1.95345,48183
12/6/2008,8:00:00 AM,1.9534,1.9545,1.94665,1.94865,46997
12/6/2008,12:00:00 PM,1.94865,1.94895,1.94355,1.9465,48791
12/6/2008,4:00:00 PM,1.9465,1.9482,1.94335,1.94735,20669
12/6/2008,8:00:00 PM,1.94735,1.9484,1.944,1.9466,12809
13/6/2008,12:00:00 AM,1.94655,1.9489,1.94505,1.9481,12939
13/6/2008,4:00:00 AM,1.9477,1.9481,1.94295,1.9434,24698
13/6/2008,8:00:00 AM,1.9434,1.9483,1.943,1.9439,56334
13/6/2008,12:00:00 PM,1.9439,1.9513,1.941,1.94945,79864
13/6/2008,4:00:00 PM,1.94945,1.95045,1.9457,1.9472,18190
13/6/2008,8:00:00 PM,1.9472,1.9488,1.9469,1.9475,2666
15/6/2008,8:00:00 PM,1.94942,1.94942,1.9459,1.94855,8794
16/6/2008,12:00:00 AM,1.94855,1.9527,1.9466,1.9518,14076
16/6/2008,4:00:00 AM,1.9518,1.9545,1.94995,1.95165,45555
16/6/2008,8:00:00 AM,1.95165,1.9647,1.95165,1.9635,94249
16/6/2008,12:00:00 PM,1.9635,1.9687,1.9628,1.9636,87482
16/6/2008,4:00:00 PM,1.9636,1.9657,1.9625,1.96315,26173
16/6/2008,8:00:00 PM,1.96315,1.9646,1.96233,1.9629,7175
17/6/2008,12:00:00 AM,1.9629,1.9675,1.9615,1.96715,19749
17/6/2008,4:00:00 AM,1.9673,1.9698,1.96465,1.9666,42285
17/6/2008,8:00:00 AM,1.9666,1.9698,1.947,1.94835,50224
17/6/2008,12:00:00 PM,1.94835,1.9551,1.9481,1.9541,99755
17/6/2008,4:00:00 PM,1.9541,1.9578,1.9541,1.957,39144
17/6/2008,8:00:00 PM,1.95695,1.9577,1.95574,1.9573,8018
18/6/2008,12:00:00 AM,1.9573,1.9578,1.9524,1.9535,16530
18/6/2008,4:00:00 AM,1.9534,1.9556,1.95025,1.9537,42960
18/6/2008,8:00:00 AM,1.9537,1.9538,1.9478,1.9523,77366
18/6/2008,12:00:00 PM,1.9523,1.9591,1.9522,1.95675,91328
18/6/2008,4:00:00 PM,1.95675,1.9611,1.9552,1.9595,39802
18/6/2008,8:00:00 PM,1.9595,1.9598,1.9575,1.9593,9400
19/6/2008,12:00:00 AM,1.9593,1.9613,1.9585,1.9606,19569
19/6/2008,4:00:00 AM,1.9606,1.96425,1.9591,1.9625,42836
19/6/2008,8:00:00 AM,1.9625,1.97265,1.96175,1.96965,90012
19/6/2008,12:00:00 PM,1.96965,1.9736,1.9678,1.9728,125260
19/6/2008,4:00:00 PM,1.9728,1.9745,1.9719,1.9722,30752
19/6/2008,8:00:00 PM,1.9722,1.9729,1.9716,1.9722,7312
20/6/2008,12:00:00 AM,1.9722,1.9726,1.9699,1.97055,13080
20/6/2008,4:00:00 AM,1.97055,1.9736,1.9702,1.97295,34139
20/6/2008,8:00:00 AM,1.97295,1.9791,1.9703,1.97745,81828
20/6/2008,12:00:00 PM,1.97745,1.97825,1.9731,1.9736,130146
20/6/2008,4:00:00 PM,1.9736,1.977,1.97305,1.97635,33929
20/6/2008,8:00:00 PM,1.9764,1.9769,1.9754,1.97585,1777
22/6/2008,8:00:00 PM,1.97445,1.9754,1.9734,1.9748,7551
23/6/2008,12:00:00 AM,1.9748,1.9756,1.97299,1.9737,13195
23/6/2008,4:00:00 AM,1.9737,1.9743,1.9655,1.9661,55166
23/6/2008,8:00:00 AM,1.9662,1.9667,1.95995,1.9611,109965
23/6/2008,12:00:00 PM,1.96115,1.96165,1.9585,1.96065,79691
23/6/2008,4:00:00 PM,1.96065,1.96585,1.9606,1.9653,36165
23/6/2008,8:00:00 PM,1.9654,1.9659,1.9637,1.96435,11270
24/6/2008,12:00:00 AM,1.96435,1.9648,1.96235,1.9642,13825
24/6/2008,4:00:00 AM,1.9642,1.9703,1.9636,1.9688,39690
24/6/2008,8:00:00 AM,1.9688,1.96905,1.96255,1.9652,58354
24/6/2008,12:00:00 PM,1.9653,1.9725,1.96505,1.9705,69732
24/6/2008,4:00:00 PM,1.9705,1.9711,1.9689,1.9697,45514
24/6/2008,8:00:00 PM,1.9696,1.9712,1.96935,1.9706,9641
25/6/2008,12:00:00 AM,1.9706,1.9712,1.96971,1.9705,9163
25/6/2008,4:00:00 AM,1.9705,1.9708,1.966,1.9675,31128
